brand_id,subsidiary_id,brand_name,main_phone_number,manager_email,manager_phone_number,sales_status_id,sales_status_note
1,101,"삼성전자",02-2255-0114,samsung_manager@samsung.com,010-1234-5678,5,"정기 계약 진행 중"
2,102,"현대자동차",02-3464-1114,hyundai_manager@hyundai.com,010-2345-6789,5,"연간 계약 체결"
3,103,"LG전자",02-3777-1114,lg_manager@lge.com,010-3456-7890,5,"매체 확장 논의 중"
4,201,"SK텔레콤",02-6100-4114,skt_manager@sk.com,010-4567-8901,5,"캠페인 추가 진행 예정"
5,202,"KT",02-2166-1114,kt_manager@kt.com,010-5678-9012,4,"예산 협의 진행 중"
6,203,"롯데백화점",02-2118-5114,lotte_manager@lotte.com,010-6789-0123,5,"정기 광고주"
7,301,"신세계백화점",02-3213-1111,shinsegae_manager@shinsegae.com,010-7890-1234,3,"제안서 검토 중"
8,302,"이마트",02-380-5678,emart_manager@shinsegae.com,010-8901-2345,5,"연간 집행 중"
9,303,"CJ제일제당",02-6740-1114,cj_manager@cj.net,010-9012-3456,4,"집행 확대 검토 중"
10,304,"네이버",02-1588-3830,naver_manager@navercorp.com,010-0123-4567,5,"디지털 매체 협의"
11,401,"카카오",02-6718-1082,kakao_manager@kakaocorp.com,010-1122-3344,5,"연간 프로모션 진행"
12,402,"넷플릭스코리아",02-2192-0000,netflix_manager@netflix.com,010-2233-4455,2,"신규 컨택 완료"
13,403,"쿠팡",02-6150-4500,coupang_manager@coupang.com,010-3344-5566,5,"정기 집행 중"
14,404,"배달의민족",02-1600-0987,baemin_manager@woowahan.com,010-4455-6677,4,"신규 매체 협의 중"
15,501,"아모레퍼시픽",02-3015-5500,amore_manager@amorepacific.com,010-5566-7788,5,"뷰티 브랜드 정기 광고"
16,502,"LF",02-6900-0114,lf_manager@lfcorp.com,010-6677-8899,3,"제안서 검토 중"
17,503,"신한카드",02-2161-0114,shinhan_manager@shinhan.com,010-7788-9900,5,"금융 상품 프로모션"
18,504,"KB국민은행",02-2073-7114,kb_manager@kbstar.com,010-8899-0011,3,"신규 매체 제안"
19,505,"하나은행",02-2002-1111,hana_manager@hanafn.com,010-9900-1122,2,"미팅 예정"
20,601,"스타벅스코리아",02-3015-1100,starbucks_manager@starbucks.co.kr,010-0011-2233,5,"월별 프로모션 진행"
21,602,"맥도날드",02-1600-5252,mcdonalds_manager@mcdonalds.co.kr,010-1122-3344,5,"정기 광고"
22,603,"나이키코리아",02-1588-7911,nike_manager@nike.co.kr,010-2233-4455,4,"신규 캠페인 기획 중"
23,604,"아디다스코리아",02-3149-5100,adidas_manager@adidas.co.kr,010-3344-5566,2,"컨택 후 대기"
24,605,"디즈니코리아",02-2192-5500,disney_manager@disney.co.kr,010-4455-6677,6,"예산 부족으로 보류"
25,701,"교보문고",02-1544-1900,kyobo_manager@kyobobook.co.kr,010-5566-7788,5,"분기별 캠페인 진행"
26,702,"메가박스",02-1544-0070,megabox_manager@megabox.co.kr,010-6677-8899,3,"여름 시즌 제안"
27,703,"CGV",02-1544-1122,cgv_manager@cgv.co.kr,010-7788-9900,5,"영화 프로모션 진행"
28,704,"세스코",02-1588-1119,cesco_manager@cesco.co.kr,010-8899-0011,2,"신규 컨택"
29,705,"요기요",02-1661-5270,yogiyo_manager@yogiyo.co.kr,010-9900-1122,7,"하반기 검토 예정"
30,801,"여기어때",02-1566-7777,goodchoice_manager@gccompany.co.kr,010-0011-2233,1,"아웃바운드 대상"
